author,commits,added,deleted,files,bugfix_commits,avg_files_per_commit,avg_lines_per_commit,weekend_rate,experience,score,tier,salary_adjustment
 David Lord,1841,35261,34731,0,244,0.0,38.02,0.21,1840,0.2806443103587017,1,0.15
 Markus Heidelberg,2,2,8,0,1,0.0,5.0,0.0,1,0.0004213021757710001,3,0.08
 Christian Clauss,1,9,0,0,0,0.0,9.0,0.0,0,0.001095360210752367,3,0.08
 ADITYA SAH,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Hynek Schlawack,1,5,5,0,1,0.0,10.0,0.0,0,0.0008639561534866613,3,0.08
 subhajitsaha01,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Grant Birkinbine,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 kadai0308,1,272,23,0,0,0.0,295.0,1.0,0,0.08587085963858423,1,0.15
 Tero Vuotila,1,2,1,0,0,0.0,3.0,0.0,0,0.0003637020730300636,3,0.08
 Badhreesh,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 abhiram kamini,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 AJ Jordan,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 James Addison,1,15,5,0,0,0.0,20.0,0.0,0,0.0024270438155682993,3,0.08
 CoolCat467,1,6,0,0,0,0.0,6.0,0.0,0,0.000730240140501578,3,0.08
 black,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 George Waters,1,5,1,0,0,0.0,6.0,0.0,0,0.0007288221432808525,3,0.08
 kotvkvante,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 zhuangzhuang,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 kurtatter,1,4,1,0,1,0.0,5.0,1.0,0,0.050261094691951586,1,0.15
 David,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 bre-17387639,1,22,19,0,1,0.0,41.0,0.0,0,0.004617011584987991,3,0.08
 Catarina Bressan,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Grey Li,105,819,368,0,34,0.0,11.3,0.25,104,0.020212417809902076,2,0.12
 pre-commit-ci[bot],39,0,0,0,0,0.0,0.0,0.0,38,0.006195652173913043,2,0.12
 dependabot[bot],61,190,191,0,0,0.0,6.25,0.26,60,0.023803832497982954,2,0.12
 Amirreza A,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 pgjones,49,3926,2272,0,3,0.0,126.49,0.53,48,0.054070398521577356,1,0.15
 Heisenberg,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Jake Tanis,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Éloi Rivard,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 JamesMRamm,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
